rrs_library_id	sample_id	filename_r1	filename_r2	rrs_library_notes	sra_accession
DFS.043.Post.2.1st	SS01109	DFS.043.Post.2.1st_R1.fastq	DFS.043.Post.2.1st_R2.fastq	not clear what .1st suffix means; BJS assuming same sample as DFS.043.Post.2;	SRR15102485
DFS.043.Post.3	SS01115	DFS.043.Post.3_R1.fastq	DFS.043.Post.3_R2.fastq		SRR15102484
DFS.043.Post.4	SS01113	DFS.043.Post.4_R1.fastq	DFS.043.Post.4_R2.fastq		SRR15102483
DFS.043.Post.5	SS01116	DFS.043.Post.5_R1.fastq	DFS.043.Post.5_R2.fastq		SRR15102481
DFS.043.Post.6	SS01118	DFS.043.Post.6_R1.fastq	DFS.043.Post.6_R2.fastq		SRR15102480
DFS.043.post.abx	SS01101	DFS.043.post.abx_R1.fastq	DFS.043.post.abx_R2.fastq		SRR15102479
DFS.047.Baseline	SS01135	DFS.047.Baseline_R1.fastq	DFS.047.Baseline_R2.fastq		SRR15102478
DFS.047.FMTi	DS0044_004	DFS.047.FMTi_R1.fastq	DFS.047.FMTi_R2.fastq		SRR15102477
DFS.047.Post.1	SS01140	DFS.047.Post.1_R1.fastq	DFS.047.Post.1_R2.fastq		SRR15102476
DFS.047.Post.3	SS01149	DFS.047.Post.3_R1.fastq	DFS.047.Post.3_R2.fastq		SRR15102475
DFS.047.Post.4	SS01146	DFS.047.Post.4_R1.fastq	DFS.047.Post.4_R2.fastq		SRR15102474
DFS.047.Post.5	SS01147	DFS.047.Post.5_R1.fastq	DFS.047.Post.5_R2.fastq		SRR15102473
DFS.047.Post.8	SS01153	DFS.047.Post.8_R1.fastq	DFS.047.Post.8_R2.fastq		SRR15102472
DFS.047.Post.8.5	SS01165	DFS.047.Post.8.5_R1.fastq	DFS.047.Post.8.5_R2.fastq	not clear what .5 suffix means; BJS assuming sample later than DFS.047.Post.8;	SRR15102470
DFS.047.post.abx	SS01136	DFS.047.post.abx_R1.fastq	DFS.047.post.abx_R2.fastq		SRR15102469
DFS.053.Baseline	SS01134	DFS.053.Baseline_R1.fastq	DFS.053.Baseline_R2.fastq		SRR15102468
DFS.053.FMTi	DS0044_003	DFS.053.FMTi_R1.fastq	DFS.053.FMTi_R2.fastq		SRR15102467
DFS.053.Post.1	SS01138	DFS.053.Post.1_R1.fastq	DFS.053.Post.1_R2.fastq		SRR15102466
DFS.053.Post.2	SS01139	DFS.053.Post.2_R1.fastq	DFS.053.Post.2_R2.fastq		SRR15102465
DFS.053.Post.3	SS01141	DFS.053.Post.3_R1.fastq	DFS.053.Post.3_R2.fastq		SRR15102464
DFS.053.Post.4	SS01142	DFS.053.Post.4_R1.fastq	DFS.053.Post.4_R2.fastq		SRR15102463
DFS.053.Post.5	SS01145	DFS.053.Post.5_R1.fastq	DFS.053.Post.5_R2.fastq		SRR15102462
DFS.053.Post.6	SS01151	DFS.053.Post.6_R1.fastq	DFS.053.Post.6_R2.fastq		SRR15102461
